Pos,ID,Name,BV,SV,Team,10_xMins,11_xMins,12_xMins,13_xMins,14_xMins,15_xMins,16_xMins,17_xMins,18_xMins,19_xMins,10_Pts,11_Pts,12_Pts,13_Pts,14_Pts,15_Pts,16_Pts,17_Pts,18_Pts,19_Pts
M,267,Sarr,6.6,6.6,Crystal Palace,85.50,85.50,85.50,85.50,83.25,83.25,83.25,0.00,0.00,0.00,5.26,4.81,4.84,4.80,4.73,4.24,4.00,0.00,0.00,0.00
M,268,Doucouré,4.9,4.9,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,269,Esse,4.7,4.7,Crystal Palace,6.30,6.30,6.30,6.30,6.30,6.30,6.30,23.40,23.40,23.40,0.34,0.32,0.31,0.32,0.32,0.30,0.29,1.11,1.20,1.23
M,270,Hughes,4.8,4.8,Crystal Palace,70.95,29.85,29.85,29.85,29.85,29.85,29.85,29.85,29.85,29.85,2.68,1.07,1.09,1.05,1.05,1.05,1.00,1.07,1.11,1.13
M,271,Kamada,5.0,5.0,Crystal Palace,82.65,73.35,73.35,73.35,73.35,73.35,73.35,72.90,72.90,72.90,3.54,3.02,3.32,3.01,2.97,2.92,2.70,2.83,3.04,3.24
M,272,Lerma,4.9,4.9,Crystal Palace,45.60,22.05,22.05,22.05,22.05,22.05,22.05,22.05,22.05,22.05,1.94,0.86,0.86,0.85,0.83,0.84,0.80,0.85,0.88,0.89
M,273,Wharton,5.0,5.0,Crystal Palace,0.00,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,81.75,0.00,3.42,3.41,3.34,3.27,3.28,3.01,3.27,3.34,3.70
M,274,Agbinone,4.4,4.4,Crystal Palace,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.03,0.03,0.03
M,275,Ahamada,4.4,4.4,Crystal Palace,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,0.07,0.06,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.06
M,276,Devenny,4.4,4.4,Crystal Palace,9.15,9.15,9.15,9.15,9.15,9.15,9.15,33.15,33.15,33.15,0.46,0.43,0.42,0.43,0.43,0.40,0.39,1.47,1.54,1.59
M,281,Rodney,4.5,4.5,Crystal Palace,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
F,283,Mateta,7.8,7.8,Crystal Palace,85.50,85.50,85.50,85.50,80.40,80.40,80.40,80.40,80.40,80.40,5.37,4.88,4.71,4.87,4.59,4.15,4.02,4.33,4.84,4.88
