Pos,ID,Name,BV,SV,Team,1_xMins,2_xMins,3_xMins,4_xMins,5_xMins,6_xMins,7_xMins,8_xMins,9_xMins,10_xMins,11_xMins,12_xMins,1_Pts,2_Pts,3_Pts,4_Pts,5_Pts,6_Pts,7_Pts,8_Pts,9_Pts,10_Pts,11_Pts,12_Pts
D,261,Richards,4.5,4.5,Crystal Palace,83.70,83.70,83.70,83.70,83.70,83.70,83.70,83.70,83.70,83.70,83.70,83.70,2.78,4.05,3.23,4.74,3.82,3.31,3.80,4.07,3.10,4.19,3.97,3.71
D,262,Chadi Riad,4.0,4.0,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,263,Clyne,4.0,4.0,Crystal Palace,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,18.75,0.66,0.85,0.74,0.94,0.81,0.76,0.82,0.85,0.71,0.88,0.84,0.80
D,264,Holding,4.0,4.0,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,265,Kporha,4.0,4.0,Crystal Palace,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,1.65,0.06,0.07,0.06,0.08,0.07,0.06,0.07,0.07,0.06,0.07,0.07,0.07
M,266,Eze,7.5,7.5,Crystal Palace,80.40,80.40,80.40,80.40,80.40,80.40,80.40,80.40,80.40,80.40,80.40,80.40,3.79,4.94,4.36,6.04,4.73,4.25,4.34,5.10,3.47,5.35,4.85,4.59
M,267,Sarr,6.5,6.5,Crystal Palace,80.40,80.40,80.40,80.40,80.40,80.40,80.40,80.40,80.40,80.40,80.40,80.40,3.48,4.34,3.91,5.32,4.23,3.81,3.89,4.57,3.23,4.82,4.34,4.07
M,268,Doucouré,5.0,5.0,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,269,Esse,5.0,5.0,Crystal Palace,11.40,11.40,11.40,11.40,11.40,11.40,11.40,11.40,11.40,11.40,11.40,11.40,0.50,0.57,0.54,0.68,0.56,0.53,0.53,0.60,0.48,0.63,0.58,0.55
M,270,Hughes,5.0,5.0,Crystal Palace,57.45,57.45,57.45,57.45,57.45,57.45,57.45,57.45,57.45,57.45,57.45,57.45,1.91,2.14,2.07,2.46,2.21,2.09,2.11,2.29,1.90,2.33,2.21,2.15
M,271,Kamada,5.0,5.0,Crystal Palace,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,50.70,1.69,1.94,1.82,2.33,1.96,1.82,1.81,2.05,1.60,2.12,1.98,1.92
M,272,Lerma,5.0,5.0,Crystal Palace,25.50,25.50,25.50,25.50,25.50,25.50,25.50,25.50,25.50,25.50,25.50,25.50,0.92,0.99,0.98,1.10,1.02,0.98,0.98,1.05,0.92,1.06,1.02,1.00
M,273,Wharton,5.0,5.0,Crystal Palace,68.40,68.40,68.40,68.40,68.40,68.40,68.40,68.40,68.40,68.40,68.40,68.40,2.81,3.20,3.06,3.65,3.31,3.13,3.10,3.41,2.77,3.50,3.31,3.20
M,274,Agbinone,4.5,4.5,Crystal Palace,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.03
M,275,Ahamada,4.5,4.5,Crystal Palace,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,1.35,0.05,0.06,0.06,0.07,0.06,0.06,0.06,0.07,0.05,0.07,0.06,0.06
M,276,Devenny,4.5,4.5,Crystal Palace,19.50,19.50,19.50,19.50,19.50,19.50,19.50,19.50,19.50,19.50,19.50,19.50,0.83,0.95,0.89,1.09,0.94,0.88,0.89,0.98,0.79,1.05,0.95,0.92
M,277,Ebiowei,4.5,4.5,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,278,J.Rak-Sakyi,4.5,4.5,Crystal Palace,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
M,279,M.França,4.5,4.5,Crystal Palace,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,4.35,0.19,0.22,0.20,0.26,0.22,0.20,0.20,0.23,0.18,0.24,0.22,0.21
M,280,Ozoh,4.5,4.5,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,281,Rodney,4.5,4.5,Crystal Palace,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.02,0.01,0.01
M,282,Umeh,4.5,4.5,Crystal Palace,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
F,283,Mateta,7.5,7.5,Crystal Palace,84.15,84.15,84.15,84.15,84.15,84.15,84.15,84.15,84.15,84.15,84.15,84.15,3.68,4.68,4.15,5.86,4.57,4.20,4.13,4.85,3.45,5.27,4.80,4.33
F,284,Nketiah,5.5,5.5,Crystal Palace,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
